Borough,Neighborhood,Latitude,Longitude
Краснодар,Завод Измерительных Приборов,45.057959,39.000072
Краснодар,Табачная Фабрика,45.044634,39.016405
Краснодар,Московский,45.068462,39.012760
Краснодар,40 лет Победы,45.050779,38.994438
Краснодар,Покровка,45.036582,39.004600
Краснодар,9-й километр,45.085224,38.982375
Краснодар,Фестивальный,45.061754,38.956619
Краснодар,Кожзавод,45.040994,38.943036
Краснодар,Хлопчато-бумажный Комбинат,45.028847,39.051673
Краснодар,РМЗ,45.030461,39.030954
Краснодар,Дубинка,45.011783,38.989357
Краснодар,Черёмушки,45.014751,39.033591
Краснодар,Школьный,45.038066,39.030752
Краснодар,Центральный,45.035417,38.970826
Краснодар,Юбилейный,45.033363,38.913123
Краснодар,аул Новая Адыгея,45.025407,38.935650
Краснодар,Музыкальный,45.082188,39.005956
Краснодар,Пашковский,45.018316,39.098871
Краснодар,Слявянский,45.070371,38.917601
Краснодар,Микрохирургии глаза,45.057420,38.910899
Краснодар,Комсомольский,45.038198,39.102177
Краснодар,Энка (п. Жукова),45.101490,38.966653
Краснодар,Гидрострой,44.999772,39.074282
Краснодар,Репино,45.075384,38.981668
Краснодар,Восточно-Кругликовский,45.063030,39.038442
Краснодар,Знаменский,45.057330,39.158837
Краснодар,Новознаменский,45.053298,39.117209
Краснодар,Аэропорт,45.037289,39.136628
Краснодар,Рубероидный,45.066819,38.896622
Краснодар,Сельхозинститут,45.047472,38.923004
Краснодар,ТЭЦ,45.018403,39.059812
Краснодар,Горхутор,45.114630,38.990350
Краснодар,Молодежный,45.143520,38.990828
Краснодар,Краевая Больница,45.064380,39.020772
Краснодар,Ул. Российская,45.100867,39.023179
Краснодар,Витаминкомбинат,45.150164,38.990838
Краснодар,Ростовское шоссе,45.091912,38.998032
Краснодар,Баскет-Холл,45.114286,38.961816
Краснодар,Поселок Северный,45.131504,38.969850
Краснодар,Горгаз,45.006901,38.961605
Краснодар,Панорама,45.049336,39.030820
Краснодар,Красная Площадь,45.049336,39.030820
Краснодар,Ипподром,45.122057,39.016423
Краснодар,Аврора,45.057563,38.981300
Краснодар,КСК,45.030447,39.072285
Краснодар,9-я Тихая,45.138042,38.996297
